Country Name,Country Code,Series Name,Series Code,2015 [YR2015]
Brunei Darussalam,BRN,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,38850
Brunei Darussalam,BRN,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,34456.392748728
Bulgaria,BGR,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,7450
Bulgaria,BGR,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,7418.7907047282
Burkina Faso,BFA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,700
Burkina Faso,BFA,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,..
Burundi,BDI,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,260
Burundi,BDI,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,228.320366960721
Cabo Verde,CPV,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,3210
Cabo Verde,CPV,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,3287.94741274433
Cambodia,KHM,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1060
Cambodia,KHM,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,959.660890607971
Cameroon,CMR,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1440
Cameroon,CMR,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,1421.33728228943
Canada,CAN,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,47570
Canada,CAN,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,49629.4288377992
Cayman Islands,CYM,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,44370
Cayman Islands,CYM,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,..
Central African Republic,CAF,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,400
Central African Republic,CAF,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,350.320953925703
Chad,TCD,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,880
Chad,TCD,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,932.245737166298
Channel Islands,CHI,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,..
Channel Islands,CHI,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,..
Chile,CHL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,14130
Chile,CHL,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,14322.8169747023
China,CHN,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,7940
China,CHN,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,6475.84568538877
Colombia,COL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,7330
Colombia,COL,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,7477.52089493767
Comoros,COM,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1380
Comoros,COM,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,1359.30941325999
"Congo, Dem. Rep.",COD,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,460
"Congo, Dem. Rep.",COD,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,377.746626781442
"Congo, Rep.",COG,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2420
"Congo, Rep.",COG,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,3981.85196294195
Costa Rica,CRI,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,10400
Costa Rica,CRI,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,8803.53628716464
Cote d'Ivoire,CIV,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1660
Cote d'Ivoire,CIV,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,1432.11868936906
Croatia,HRV,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,12970
Croatia,HRV,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,14022.4023978203
Cuba,CUB,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,7230
Cuba,CUB,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,6437.02151499528
Curacao,CUW,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,19620
Curacao,CUW,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,..
Cyprus,CYP,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,25960
Cyprus,CYP,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,27715.3121895442
Czech Republic,CZE,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,18260
Czech Republic,CZE,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,19925.6664800064
Denmark,DNK,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,60510
Denmark,DNK,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,62264.268720618
Djibouti,DJI,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2730
Djibouti,DJI,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,..
Dominica,DMA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,6870
Dominica,DMA,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,..
Dominican Republic,DOM,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,6580
Dominican Republic,DOM,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,6384.87025309363
Ecuador,ECU,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,5970
Ecuador,ECU,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,5239.35237420837
"Egypt, Arab Rep.",EGY,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,3360
"Egypt, Arab Rep.",EGY,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,2655.22802301134
El Salvador,SLV,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,3440
El Salvador,SLV,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,3157.49617614632
Equatorial Guinea,GNQ,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,10850
Equatorial Guinea,GNQ,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,10963.9927629127
Eritrea,ERI,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,..
Eritrea,ERI,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,..
Estonia,EST,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,18680
Estonia,EST,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,17218.4122575884
Eswatini,SWZ,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,4000
Eswatini,SWZ,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,4695.9436300618
Ethiopia,ETH,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,600
Ethiopia,ETH,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,..
Faroe Islands,FRO,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,..
Faroe Islands,FRO,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,..
Fiji,FJI,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,5200
Fiji,FJI,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,..
Finland,FIN,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,47150
Finland,FIN,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,46102.2096461547
