country;code;city;cc;region;asmp;abp;aop;markup;N_H_E;smbi;bbi;obi
France;FRA;Paris;Paris (FRA);Europe & Central Asia;1.08;7.39;4.24;6.8;18;4;25;14
Czech Republic;CZE;Prague;Prague (CZE);Europe & Central Asia;1.02;4.32;2.67;4.2;6;10;43;27
Iceland;ISL;Reykjavik;Reykjavik (ISL);Europe & Central Asia;1.53;4.95;3.24;3.2;NA;NA;NA;NA
Brazil;BRA;Rio de Janeiro;Rio de Janeiro (BRA);Latin America & Caribbean;1.09;5.15;3.12;4.7;8;8;39;23
Italy;ITA;Rome;Rome (ITA);Europe & Central Asia;1.02;8.13;4.57;8;15;4;33;18
USA;USA;San Francisco;San Francisco (USA);North America;1.46;6.48;3.97;4.4;NA;NA;NA;NA
Chile;CHL;Santiago;Santiago (CHL);Latin America & Caribbean;1.03;3.53;2.28;3.4;NA;NA;NA;NA
Spain;ESP;Seville;Seville (ESP);Europe & Central Asia;0.52;4.48;2.5;8.6;NA;NA;NA;NA
Singapore;SGP;Singapore;Singapore (SGP);East Asia & Pacific;1.89;8.37;5.13;4.4;NA;NA;NA;NA
Bulgaria;BGR;Sofia;Sofia (BGR);Europe & Central Asia;1.15;3.44;2.29;3;3;23;69;46
Sweden;SWE;Stockholm;Stockholm (SWE);Europe & Central Asia;1.34;5.95;3.65;4.4;17;5;21;13
France;FRA;Strasbourg;Strasbourg (FRA);Europe & Central Asia;0.96;5.54;3.25;5.8;NA;NA;NA;NA
Australia;AUS;Sydney;Sydney (AUS);East Asia & Pacific;2.37;6.56;4.46;2.8;23;6;17;12
Israel;ISR;Tel Aviv;Tel Aviv (ISR);Middle East & North Africa;2.06;9.53;5.79;4.6;13;10;44;27
Netherlands;NLD;The Hague;The Hague (NLD);Europe & Central Asia;0.96;4.43;2.7;4.6;NA;NA;NA;NA
Japan;JPN;Tokyo;Tokyo (JPN);East Asia & Pacific;2.38;7.17;4.77;3;19;8;23;15
Canada;CAN;Toronto;Toronto (CAN);North America;1.64;4.91;3.27;3;19;5;16;10
Italy;ITA;Venice;Venice (ITA);Europe & Central Asia;1.1;5.91;3.5;5.4;NA;NA;NA;NA
Austria;AUT;Vienna;Vienna (AUT);Europe & Central Asia;1.18;5.73;3.45;4.9;19;4;18;11
Poland;POL;Warsaw;Warsaw (POL);Europe & Central Asia;0.7;3.6;2.15;5.1;6;7;36;22
Switzerland;CHE;Zurich;Zurich (CHE);Europe & Central Asia;1.66;7.53;4.6;4.5;38;3;12;7
