country;code;city;cc;region;asmp;abp;aop;markup;N_H_E;source;minutes
Switzerland;CHE;Geneva;Geneva (CHE);Europe & Central Asia;1.87;10.77;6.32;5.8;37;Overall;10
Finland;FIN;Helsinki;Helsinki (FIN);Europe & Central Asia;1.64;8.17;4.91;5;17;Overall;17
Hong Kong;HKG;Hong Kong;Hong Kong (HKG);East Asia & Pacific;1.46;10.86;6.16;7.4;14;Overall;26
Turkey;TUR;Istanbul;Istanbul (TUR);Europe & Central Asia;2.15;4.4;3.28;2;7;Overall;28
Ukraine;UKR;Kiev;Kiev (UKR);Europe & Central Asia;0.97;2.36;1.66;2.4;2;Overall;50
Malaysia;MYS;Kuala Lumpur;Kuala Lumpur (MYS);East Asia & Pacific;2.01;6.55;4.28;3.3;6;Overall;43
Peru;PER;Lima;Lima (PER);Latin America & Caribbean;1.26;3.78;2.52;3;5;Overall;30
Portugal;PRT;Lisbon;Lisbon (PRT);Europe & Central Asia;0.9;4.25;2.58;4.7;9;Overall;17
Slovenia;SVN;Ljubljana;Ljubljana (SVN);Europe & Central Asia;1.16;4.25;2.71;3.7;9;Overall;18
UK;GBR;London;London (GBR);Europe & Central Asia;1.69;7.35;4.52;4.3;20;Overall;14
USA;USA;Los Angeles;Los Angeles (USA);North America;1.87;4.61;3.24;2.5;24;Overall;8
Luxembourg;LUX;Luxembourg;Luxembourg (LUX);Europe & Central Asia;1.02;6.16;3.59;6;26;Overall;8
Spain;ESP;Madrid;Madrid (ESP);Europe & Central Asia;0.88;4.48;2.68;5.1;12;Overall;13
Philippines;PHL;Manila;Manila (PHL);East Asia & Pacific;0.61;3.94;2.28;6.5;2;Overall;68
Mexico;MEX;Mexico City;Mexico City (MEX);Latin America & Caribbean;0.88;3.03;1.96;3.4;4;Overall;29
USA;USA;Miami;Miami (USA);North America;1.29;8.97;5.13;7;25;Overall;12
Italy;ITA;Milan;Milan (ITA);Europe & Central Asia;1.1;7.02;4.06;6.4;14;Overall;17
Russia;RUS;Moscow;Moscow (RUS);Europe & Central Asia;2.49;5.46;3.98;2.2;6;Overall;40
Germany;DEU;Munich;Munich (DEU);Europe & Central Asia;0.91;5.32;3.11;5.8;18;Overall;10
USA;USA;New York;New York (USA);North America;1.44;8.97;5.2;6.2;27;Overall;12
Norway;NOR;Oslo;Oslo (NOR);Europe & Central Asia;3.45;7.17;5.31;2.1;22;Overall;14
France;FRA;Paris;Paris (FRA);Europe & Central Asia;1.08;7.39;4.24;6.8;18;Overall;14
Czech Republic;CZE;Prague;Prague (CZE);Europe & Central Asia;1.02;4.32;2.67;4.2;6;Overall;27
Brazil;BRA;Rio de Janeiro;Rio de Janeiro (BRA);Latin America & Caribbean;1.09;5.15;3.12;4.7;8;Overall;23
Italy;ITA;Rome;Rome (ITA);Europe & Central Asia;1.02;8.13;4.57;8;15;Overall;18
Bulgaria;BGR;Sofia;Sofia (BGR);Europe & Central Asia;1.15;3.44;2.29;3;3;Overall;46
Sweden;SWE;Stockholm;Stockholm (SWE);Europe & Central Asia;1.34;5.95;3.65;4.4;17;Overall;13
Australia;AUS;Sydney;Sydney (AUS);East Asia & Pacific;2.37;6.56;4.46;2.8;23;Overall;12
Israel;ISR;Tel Aviv;Tel Aviv (ISR);Middle East & North Africa;2.06;9.53;5.79;4.6;13;Overall;27
Japan;JPN;Tokyo;Tokyo (JPN);East Asia & Pacific;2.38;7.17;4.77;3;19;Overall;15
Canada;CAN;Toronto;Toronto (CAN);North America;1.64;4.91;3.27;3;19;Overall;10
Austria;AUT;Vienna;Vienna (AUT);Europe & Central Asia;1.18;5.73;3.45;4.9;19;Overall;11
Poland;POL;Warsaw;Warsaw (POL);Europe & Central Asia;0.7;3.6;2.15;5.1;6;Overall;22
Switzerland;CHE;Zurich;Zurich (CHE);Europe & Central Asia;1.66;7.53;4.6;4.5;38;Overall;7
