CITY;AVERAGE SUPERMARKET PRICE $;BAR PRICE $;OVERALL PRICE $;BEER PER CAPITA/YEAR (LITERS);AVERAGE SPENT ON BEER PER PERSON PER YEAR $;year;country;pop;continent;region;code;cc
Munich;0.91;5.32;3.11;118;1102;2015;Germany;1272179;Europe;Europe & Central Asia;DEU;Munich (DEU)
New York;1.44;8.97;5.2;85;1330;2015;USA;8124427;Americas;North America;USA;New York (USA)
Nice;0.96;5.91;3.44;43;443;2015;France;337891;Europe;Europe & Central Asia;FRA;Nice (FRA)
Oslo;3.45;7.17;5.31;63;999;2015;Norway;821445;Europe;Europe & Central Asia;NOR;Oslo (NOR)
Paris;1.08;7.39;4.24;43;545;2015;France;2141839;Europe;Europe & Central Asia;FRA;Paris (FRA)
Prague;1.02;4.32;2.67;130;1040;2015;Czech Republic;1168374;Europe;Europe & Central Asia;CZE;Prague (CZE)
Reykjavik;1.53;4.95;3.24;82;797;2015;Iceland;114576;Europe;Europe & Central Asia;ISL;Reykjavik (ISL)
Rio de Janeiro;1.09;5.15;3.12;97;905;2015;Brazil;6055582;Americas;Latin America & Caribbean;BRA;Rio de Janeiro (BRA)
Rome;1.02;8.13;4.57;29;392;2015;Italy;2561181;Europe;Europe & Central Asia;ITA;Rome (ITA)
San Francisco;1.46;6.48;3.97;85;1014;2015;USA;723724;Americas;North America;USA;San Francisco (USA)
Santiago;1.03;3.53;2.28;53;365;2015;Chile;4893495;Americas;Latin America & Caribbean;CHL;Santiago (CHL)
Seville;0.52;4.48;2.5;104;778;2015;Spain;NA;Europe;Europe & Central Asia;ESP;Seville (ESP)
Singapore;1.89;8.37;5.13;26;399;2015;Singapore;3601745;Asia;East Asia & Pacific;SGP;Singapore (SGP)
Sofia;1.15;3.44;2.29;82;566;2015;Bulgaria;1166143;Europe;Europe & Central Asia;BGR;Sofia (BGR)
Stockholm;1.34;5.95;3.65;63;689;2015;Sweden;1260712;Europe;Europe & Central Asia;SWE;Stockholm (SWE)
Strasbourg;0.96;5.54;3.25;43;419;2015;France;276391;Europe;Europe & Central Asia;FRA;Strasbourg (FRA)
Sydney;2.37;6.56;4.46;99;1331;2015;Australia;4444513;Oceania;East Asia & Pacific;AUS;Sydney (AUS)
Tel Aviv;2.06;9.53;5.79;23;396;2015;Israel;NA;Asia;Middle East & North Africa;ISR;Tel Aviv (ISR)
The Hague;0.96;4.43;2.7;86;698;2015;Netherlands;NA;Europe;Europe & Central Asia;NLD;The Hague (NLD)
Tokyo;2.38;7.17;4.77;25;363;2015;Japan;8372440;Asia;East Asia & Pacific;JPN;Tokyo (JPN)
Toronto;1.64;4.91;3.27;116;1136;2015;Canada;4670783;Americas;North America;CAN;Toronto (CAN)
Venice;1.1;5.91;3.5;29;300;2015;Italy;270277;Europe;Europe & Central Asia;ITA;Venice (ITA)
Vienna;1.18;5.73;3.45;95;988;2015;Austria;1570976;Europe;Europe & Central Asia;AUT;Vienna (AUT)
Warsaw;0.7;3.6;2.15;127;822;2015;Poland;1634441;Europe;Europe & Central Asia;POL;Warsaw (POL)
Zurich;1.66;7.53;4.6;63;875;2015;Switzerland;338754;Europe;Europe & Central Asia;CHE;Zurich (CHE)
