"";"CITY";"AVERAGE SUPERMARKET PRICE $";"BAR PRICE $";"OVERALL PRICE $";"BEER PER CAPITA/YEAR (LITERS)";"AVERAGE SPENT ON BEER PER PERSON PER YEAR $";"year";"country";"pop"
"58";"Rio de Janeiro";1,09;5,15;3,12;97;905;2016;"Brazil";6055582
"59";"Rome";1,02;8,13;4,57;29;392;2016;"Italy";2561181
"60";"San Francisco";1,46;6,48;3,97;85;1014;2016;"USA";723724
"61";"Santiago";1,03;3,53;2,28;53;365;2016;"Chile";4893495
"62";"Seville";0,52;4,48;2,5;104;778;2016;"Spain";NA
"63";"Singapore";1,89;8,37;5,13;26;399;2016;"Singapore";3601745
"64";"Sofia";1,15;3,44;2,29;82;566;2016;"Bulgaria";1166143
"65";"Stockholm";1,34;5,95;3,65;63;689;2016;"Sweden";1260712
"66";"Strasbourg";0,96;5,54;3,25;43;419;2016;"France";276391
"67";"Sydney";2,37;6,56;4,46;99;1331;2016;"Australia";4444513
"68";"Tel Aviv";2,06;9,53;5,79;23;396;2016;"Israel";NA
"69";"The Hague";0,96;4,43;2,7;86;698;2016;"Netherland";NA
"70";"Tokyo";2,38;7,17;4,77;25;363;2016;"Japan";8372440
"71";"Toronto";1,64;4,91;3,27;116;1136;2016;"Canada";4670783
"72";"Venice";1,1;5,91;3,5;29;300;2016;"Italy";270277
"73";"Vienna";1,18;5,73;3,45;95;988;2016;"Austria";1570976
"74";"Warsaw";0,7;3,6;2,15;127;822;2016;"Poland";1634441
"75";"Zurich";1,66;7,53;4,6;63;875;2016;"Switzerland";338754
