"";"CITY";"AVERAGE SUPERMARKET PRICE $";"BAR PRICE $";"OVERALL PRICE $";"BEER PER CAPITA/YEAR (LITERS)";"AVERAGE SPENT ON BEER PER PERSON PER YEAR $";"year";"country";"pop"
"31";"Hong Kong";1,46;10,86;6,16;16;296;2015;"Hong Kong";NA
"32";"Istanbul";2,15;4,4;3,28;23;229;2015;"Turkey";10034830
"33";"Kiev";0,97;2,36;1,66;103;514;2015;"Ukraine";2491404
"34";"Krakow";0,62;2,7;1,66;127;634;2015;"Poland";NA
"35";"Kuala Lumpur";2,01;6,55;4,28;18;235;2015;"Malaysia";1482359
"36";"Leeds";1,44;4,64;3,04;79;726;2015;"UK";457875
"37";"Lima";1,26;3,78;2,52;71;532;2015;"Peru";7857121
"38";"Lisbon";0,9;4,25;2,58;74;572;2015;"Portugal";508209
"39";"Liverpool";1,16;4,13;2,64;79;630;2015;"UK";468584
"40";"Ljubljana";1,16;4,25;2,71;95;768;2015;"Slovenia";254188
"41";"London";1,69;7,35;4,52;79;1078;2015;"UK";7489022
"42";"Los Angeles";1,87;4,61;3,24;85;827;2015;"USA";3911500
"43";"Luxembourg";1,02;6,16;3,59;79;854;2015;"Luxembourg";NA
"44";"Madrid";0,88;4,48;2,68;104;833;2015;"Spain";3146804
"45";"Malaga";0,63;2,8;1,72;104;534;2015;"Spain";553916
"46";"Manila";0,61;3,94;2,28;27;184;2015;"Philippines";10546511
"47";"Mexico City";0,88;3,03;1,96;101;595;2015;"Mexico";8659409
"48";"Miami";1,29;8,97;5,13;85;1311;2015;"USA";386740
"49";"Milan";1,1;7,02;4,06;29;347;2015;"Italy";1316218
"50";"Moscow";2,49;5,46;3,98;106;1267;2015;"Russia";10472629
"51";"Munich";0,91;5,32;3,11;118;1102;2015;"Germany";1272179
"52";"New York";1,44;8,97;5,2;85;1330;2015;"USA";8124427
"53";"Nice";0,96;5,91;3,44;43;443;2015;"France";337891
"54";"Oslo";3,45;7,17;5,31;63;999;2015;"Norway";821445
"55";"Paris";1,08;7,39;4,24;43;545;2015;"France";2141839
"56";"Prague";1,02;4,32;2,67;130;1040;2015;"Czech Republic";1168374
"57";"Reykjavik";1,53;4,95;3,24;82;797;2015;"Iceland";114576
"58";"Rio de Janeiro";1,09;5,15;3,12;97;905;2015;"Brazil";6055582
"59";"Rome";1,02;8,13;4,57;29;392;2015;"Italy";2561181
"60";"San Francisco";1,46;6,48;3,97;85;1014;2015;"USA";723724
"61";"Santiago";1,03;3,53;2,28;53;365;2015;"Chile";4893495
"62";"Seville";0,52;4,48;2,5;104;778;2015;"Spain";NA
"63";"Singapore";1,89;8,37;5,13;26;399;2015;"Singapore";3601745
"64";"Sofia";1,15;3,44;2,29;82;566;2015;"Bulgaria";1166143
"65";"Stockholm";1,34;5,95;3,65;63;689;2015;"Sweden";1260712
"66";"Strasbourg";0,96;5,54;3,25;43;419;2015;"France";276391
"67";"Sydney";2,37;6,56;4,46;99;1331;2015;"Australia";4444513
"68";"Tel Aviv";2,06;9,53;5,79;23;396;2015;"Israel";NA
"69";"The Hague";0,96;4,43;2,7;86;698;2015;"Netherlands";NA
"70";"Tokyo";2,38;7,17;4,77;25;363;2015;"Japan";8372440
"71";"Toronto";1,64;4,91;3,27;116;1136;2015;"Canada";4670783
"72";"Venice";1,1;5,91;3,5;29;300;2015;"Italy";270277
"73";"Vienna";1,18;5,73;3,45;95;988;2015;"Austria";1570976
"74";"Warsaw";0,7;3,6;2,15;127;822;2015;"Poland";1634441
"75";"Zurich";1,66;7,53;4,6;63;875;2015;"Switzerland";338754
